id,name,known_name,gender,birth_date,birth_city,birth_country,death_date,death_city,death_country,prize_number,year,category,share,motivation,prize_amount,prize_amount_adjusted,sort_order
301,Ilya Ilyich Mechnikov,Ilya Mechnikov,male,1845-05-15,Kharkov,Russian Empire,1916-07-15,Paris,France,1,1908,Physiology or Medicine,,in recognition of their work on immunity,139800,8958535,1
250,Ilya Romanovich Prigogine,Ilya Prigogine,male,1917-01-25,Moscow,Russia,2003-05-28,Brussels,Belgium,1,1977,Chemistry,,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",700000,3896009,1
761,Imre Kertész,Imre Kertész,male,1929-11-09,Budapest,Hungary,2016-03-31,Budapest,Hungary,1,2002,Literature,,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,10000000,15218228,1
467,,,,,,,,,,1,1904,Peace,,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,140859,9822844,1
818,,,,,,,,,,1,2007,Peace,,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",10000000,14291742,1
797,,,,,,,,,,1,2005,Peace,,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,10000000,14809494,1
948,,,,,,,,,,1,2017,Peace,,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,9000000,11603589,1
564,,,,,,,,,,1,1997,Peace,,for their work for the banning and clearing of anti-personnel mines,7500000,12105174,1
482,,,,,,,,,,1,1917,Peace,,for the efforts to take care of wounded soldiers and prisoners of war and their families,133823,4957724,1
482,,,,,,,,,,2,1944,Peace,,for the great work it has performed during the war on behalf of humanity,121841,3174561,1
482,,,,,,,,,,3,1963,Peace,,for promoting the principles of the Geneva Convention and cooperation with the UN,265000,3590371,1
527,,,,,,,,,,1,1969,Peace,,for creating international legislation insuring certain norms for working conditions in every country,375000,4023190,1
547,,,,,,,,,,1,1985,Peace,,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,1800000,4860820,1
194,Irène Joliot-Curie,Irène Joliot-Curie,female,1897-09-12,Paris,France,1956-03-17,Paris,France,1,1935,Chemistry,,in recognition of their synthesis of new radioactive elements,159917,6319387,2
191,Irving Langmuir,Irving Langmuir,male,1881-01-31,"Brooklyn, NY",USA,1957-08-16,"Falmouth, MA",USA,1,1932,Chemistry,,for his discoveries and investigations in surface chemistry,171753,6675842,1
781,Irwin Rose,Irwin Rose,male,1926-07-16,"Brooklyn, NY",USA,2015-06-03,"Deerfield, MA",USA,1,2004,Chemistry,,for the discovery of ubiquitin-mediated protein degradation,10000000,14874529,3
654,Isaac Bashevis Singer,Isaac Bashevis Singer,male,1904-07-14,Leoncin,Russian Empire,1991-07-24,"Surfside, FL",USA,1,1978,Literature,,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",725000,3665192,1
906,Isamu Akasaki,Isamu Akasaki,male,1929-01-30,Chiran,Japan,2021-04-01,Nagoya,Japan,1,2014,Physics,,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,8000000,10596648,1
49,Isidor Isaac Rabi,Isidor Isaac Rabi,male,1898-07-29,Rymanow,Austria-Hungary,1988-01-11,"New York, NY",USA,1,1944,Physics,,for his resonance method for recording the magnetic properties of atomic nuclei,121841,3174561,1
606,Ivan Alekseyevich Bunin,Ivan Bunin,male,1870-10-22,Voronezh,Russia,1953-11-08,Paris,France,1,1933,Literature,,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,170332,6845037,1
296,Ivan Petrovich Pavlov,Ivan Pavlov,male,1849-09-14,Ryazan,Russia,1936-02-27,Leningrad,Russia,1,1904,Physiology or Medicine,,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",140859,9822844,1
